name,filters
가라아게,일식;고기;튀김
가츠동,일식;고기;밥
가츠샌드위치,일식;빵;고기;간식;튀김
간장게장,한식;해산물
간짜장,중식;면
갈비,한식;고기
갈비찜,한식;고기
갈비탕,한식;고기;국물요리
감바스,양식;해산물
감자전,한식
고추잡채,중식;고기
국밥,한식;밥;국물요리
규동,일식;밥;고기
규카츠,일식;고기;튀김
그라탕,양식
김밥,한식;밥
김치찌개,한식;국물요리;매운맛
깐풍기,중식;고기;튀김
난,기타;빵
냉면,한식;면
뇨끼,양식
닭갈비,한식;고기;매운맛
닭볶음탕,한식;고기;매운맛
덮밥,일식;밥
돈까스,일식;고기;튀김
돼지갈비,한식;고기
된장찌개,한식;국물요리;짠맛
딤섬,중식
떡볶이,한식;매운맛
라면,한식;면;매운맛
라멘,일식;면
라자냐,양식;고기
랍스터,양식;해산물
리조또,양식;밥
마라룽샤,중식;해산물;매운맛
마라샹궈,중식;매운맛
마라탕,중식;국물요리;매운맛
마파두부,중식;매운맛
멘보샤,중식;해산물;튀김
멘치카츠,일식;고기;튀김
모듬전,한식;튀김
모찌,일식;간식
모츠나베,일식;국물요리;고기
미소시루,일식;국물요리
버터치킨,기타;고기
버팔로윙,양식;고기;튀김
볶음밥,한식;밥
부대찌개,한식;국물요리;매운맛
부리또,기타;간식
분짜,기타;면
불고기,한식;고기
불고기전골,한식;고기;국물요리
불백,한식;고기;밥
비빔밥,한식;밥
사케동,일식;해산물;밥
삼겹살,한식;고기
샌드위치,양식;빵;간식
샐러드,양식;다이어트
샤브샤브,일식;국물요리;고기
설렁탕,한식;국물요리
소바,일식;면
순두부찌개,한식;국물요리;매운맛
스시롤,일식;해산물;밥
스키야끼,일식;국물요리;고기
스테이크,양식;고기
쌀국수,기타;면;국물요리
알밥,한식;밥
야끼소바,일식;면
야키니쿠,일식;고기
야키토리,일식;고기
양꼬치,중식;고기
양념게장,한식;해산물
양장피,중식
어향가지덮밥,중식;밥
연어스테이크,양식;해산물
오뎅,일식;간식
오므라이스,일식;밥
오코노미야키,일식
와규,일식;고기
완탕,중식;국물요리
우동,일식;면;국물요리
우육면,중식;면;국물요리
울면,중식;면;국물요리
유린기,중식;고기;튀김
유부우동,일식;면;국물요리
유산슬,중식
잡채,한식;면
잡채밥,중식;밥
잡탕밥,중식;밥
장어덮밥,일식;밥;해산물
중국냉면,중식;면;국물요리
죽,한식;밥
지삼선,중식;튀김
짜장면,중식;면
짬뽕,중식;면;매운맛
차우면,중식;면
초밥,일식;밥
치킨,양식;고기;튀김
칠리새우,중식;해산물;튀김
카레,기타;밥
카오팟,기타;밥
카이센동,일식;밥;해산물
케밥,기타;고기
콩국수,한식;면;국물요리
타코,기타
타코야끼,일식;간식
탄탄면,중식;면
탕수육,중식;고기;튀김
텐동,일식;밥;튀김
토마토달걀덮밥,중식;밥
파스타,양식;면
팟타이,기타;면
포케,양식;다이어트
폭립,양식;고기
피시앤칩스,양식;튀김;해산물
피자,양식;빵
필라프,양식;밥
함박스테이크,양식;일식;고기
핫도그,양식;간식;고기
해물파전,한식;해산물
햄버거,양식;고기
호떡,한식;간식
회,일식;해산물
후토마키,일식;밥;해산물
훠궈,중식;국물요리;매운맛
